100;15
200;36
300;62
400;83
500;110
600;136
700;158
800;185
900;216
1000;248
1100;275
1200;306
1300;330
1400;354
1500;378
1600;409
1700;436
1800;468
1900;502
2000;538
5000;573
8000;614
11000;653
14000;700
17000;743
20000;797
30000;845
40000;894
50000;942
60000;992
70000;1046
80000;1095
90000;1151
100000;1206
125000;1267
150000;1322
175000;1376
200000;1435
225000;1495
250000;1551
275000;1606
300000;1664
325000;1724
350000;1782
375000;1842
400000;1901
425000;1959
450000;2017
475000;2080
500000;2142
525000;2202
550000;2262
575000;2327
600000;2387
625000;2444
650000;2510
675000;2568
700000;2633
725000;2698
750000;2757
775000;2834
800000;2898
825000;2962
850000;3029
875000;3099
900000;3165
925000;3228
950000;3291
975000;3355
1000000;3417
