100;0
200;0
300;15
400;15
500;31
600;47
700;62
800;78
900;114
1000;145
1100;161
1200;193
1300;239
1400;282
1500;313
1600;388
1700;471
1800;524
1900;558
2000;621
5000;749
8000;945
11000;1259
14000;1549
17000;1922
20000;2340
30000;2960
40000;3763
50000;4773
60000;6006
70000;7416
80000;9025
90000;10863
100000;12865
125000;15404
150000;18445
175000;21993
200000;26131
225000;30706
250000;35814
275000;42970
300000;61834
325000;81532
350000;105547
375000;130650
400000;157826
425000;185484
450000;215844
475000;247075
500000;280003
525000;300937
550000;315519
575000;352475
600000;393128
625000;423082
650000;437790
675000;458628
700000;482173
725000;504526
750000;527645
775000;551725
800000;575974
825000;602087
850000;629341
875000;657528
900000;686071
925000;716062
950000;746390
975000;778806
1000000;811886
